"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 06 16:25:27 GMT 2023","Tue Jun 06 16:25:47 GMT 2023","20646","","","","","","TC04Delete Project",""
"failed","Tue Jun 06 16:24:23 GMT 2023","Tue Jun 06 16:24:45 GMT 2023","22204","","","","","","TC01LogIn",""
"failed","Tue Jun 06 16:25:06 GMT 2023","Tue Jun 06 16:25:27 GMT 2023","20685","","","","","","TC03Updating Project Name",""
"failed","Tue Jun 06 16:24:45 GMT 2023","Tue Jun 06 16:25:06 GMT 2023","20731","","","","","","TC02Project Creation",""
